class,X143,X144,X146,X149,X150,X151,X152,X156,X157,X159,X160,X165,X167,X168,X173,X175,X178,X181,X183,X184,X185,X189,X190,X191,X192,X193,X194,X195,X196,X197,X199,X200,X205,X207,X208
N,-0.113064647,0.213844268,0.100587726,-0.053769132,0.062824451,-0.137698994,-0.048894724,0.370189461,-0.072807051,-0.54753679,0.844315754,-0.471041593,1.605471086,0.641518065,-0.472074179,-0.306394973,-0.659754577,-0.525632659,0.20799186,-0.102080109,-0.403892374,-0.316172012,-0.395975633,-1.697552233,1.145491118,1.135666276,-1.243348721,-2.709737214,0.476797448,-0.745284781,-0.533137371,0.874631515,0.044439,-0.100382271,-0.048007586
N,0.01043272,0.168148329,-0.164736648,0.60831508,-0.257332631,-0.152604817,-0.175826578,0.451585333,-0.659861802,1.735248686,0.258451833,-0.008058881,-0.362890177,0.334774721,-0.472074179,-0.306394973,-0.659754577,-0.581030928,0.559800134,-0.487526947,-1.901134944,0.372980959,-0.40600945,0.239294255,0.8075569,-0.713387952,-0.399059523,0.381425779,0.476797448,-0.522019962,-0.151049044,0.276430987,-0.687984936,-0.084112434,0.226323973
N,-0.107629904,0.328084116,0.189029185,-0.633092818,0.319856435,-0.056846904,0.636537283,0.126001848,0.514247699,-0.430740183,0.29714096,-0.471041593,2.272019442,1.276914993,-0.023056603,3.339988505,1.512880702,-0.304039585,0.111134893,-0.287665624,-0.363820189,-0.521135611,-0.178260402,-2.036394952,0.554106237,2.925073594,-0.961918989,-2.709737214,0.476797448,-0.633652372,-0.277245986,0.394386021,-0.164824981,-0.156062922,0.212941946
N,-0.100257821,-0.174571213,0.082899435,0.525554553,0.153515703,0.052226267,-0.201212948,0.47871729,1.6883572,-0.431707049,0.429789395,-0.008058881,-0.595841868,0.495449806,-0.472074179,-0.306394973,-0.659754577,0.859324059,-0.313266946,0.02640217,0.801916119,0.949255426,0.127082283,0.791901073,-1.220048406,-0.594094131,0.867374274,0.662440596,0.476797448,0.817568952,-0.066045933,-0.995798304,0.253702982,-0.044895252,0.01890255
Y,-0.086907094,0.168148329,0.153652601,-0.426191502,-0.172552801,0.150414053,-0.759713103,0.370189461,-0.072807051,-0.515389037,0.645343102,-0.934024305,-0.731278897,-1.586022889,-0.472074179,-0.306394973,-0.659754577,-0.08244651,-0.109728037,0.15488445,-0.298247521,0.114548595,-1.124887657,0.916208902,-0.121762199,-0.892328684,-1.102633855,0.412649648,0.476797448,-0.298755143,-0.128592873,-0.119560912,-0.897248918,3.816547293,0.299925123
N,-0.009142448,-0.288811061,0.401288684,-0.136529659,-0.362167277,0.162533669,-1.749781558,0.315925547,-0.659861802,2.136729484,0.634289065,-0.471041593,1.605471086,0.641518065,-0.472074179,-0.306394973,-0.659754577,-0.414836122,0.256469286,-0.872973785,0.725414673,-0.054769161,-0.161402209,-0.029842702,0.04720491,-0.459888582,-0.53977439,0.287754173,0.476797448,-0.298755143,-0.262693935,0.546042493,-0.06019299,-0.402490236,0.279852082
N,-0.093787934,0.716499597,0.153652601,-0.798613871,-0.566604236,-0.034851717,0.331900835,0.28879359,-0.659861802,2.136729484,0.634289065,-0.934024305,-0.731278897,-1.586022889,-0.023056603,3.339988505,1.512880702,-0.636429197,-0.146140356,0.183436067,-0.520466005,-0.856800636,0.893011292,0.311264367,0.8075569,0.643579264,0.937731707,0.537545122,-0.015864663,-0.522019962,-0.153932334,0.234304189,-0.687984936,-0.162301665,0.795060132
N,-0.136916632,0.168148329,0.171340893,0.691075607,0.080253041,0.082437411,-0.378917543,0.370189461,1.394829824,-0.347955961,0.20870867,0.917906543,-0.601957217,0.634214652,-0.472074179,-0.306394973,-0.659754577,1.302510209,-0.381901982,-0.544630182,0.772772711,0.812613026,-0.214402914,0.297753674,-0.290729307,-0.594094131,0.163799942,0.412649648,0.476797448,0.594304133,-0.206414642,0.183752032,1.404654882,-0.137731849,0.199559918
N,0.112558685,-2.413672225,0.065211143,-1.088275714,0.14143778,-0.653112174,1.042719214,-1.013540349,-0.366334426,-0.401677463,0.700613283,-0.934024305,-0.731278897,-1.586022889,-0.472074179,-0.306394973,-0.659754577,-1.024217078,-0.787039726,1.139915258,-0.072386112,-0.735010671,-0.751434274,0.50974744,-0.966597743,-0.892328684,-0.961918989,0.287754173,0.476797448,-0.856917191,-0.593813017,1.194795178,0.044439,-0.064046405,0.266470055
Y,-0.110647299,-0.517290756,-0.129360065,0.194512447,0.846053492,-0.010212664,0.433446318,0.397321418,-0.366334426,-0.351579264,0.56243783,-0.008058881,-0.60667683,0.787586325,2.222031277,-0.269329769,1.496905442,-0.248641316,-0.287517535,-0.144907535,0.539625449,-0.440932464,0.823667505,-0.324730491,0.216172019,0.703226174,0.234157376,0.537545122,0.476797448,0.705936543,-0.097354565,-0.397597777,-0.583352945,-0.367825887,0.922189391
N,-0.065615759,0.168148329,0.118276018,0.980737449,-0.316284892,-0.208649087,0.027264388,0.343057504,-0.366334426,-0.59372056,0.684032228,-0.008058881,-0.552502018,0.707248782,-0.472074179,-0.306394973,-0.659754577,0.80392579,-0.489140141,0.683089376,0.423051819,0.717557444,-0.435675521,0.641208536,0.216172019,-0.638829314,-0.258344657,0.412649648,0.476797448,0.594304133,-0.291280804,0.369109942,-0.269456972,0.071952694,0.132649782
N,-0.246707887,0.419475994,0.118276018,-0.839994135,0.28461961,-0.332620794,1.017332843,0.126001848,-0.659861802,1.605357839,0.136857435,-0.471041593,1.720393216,0.75106926,-0.472074179,-0.306394973,-0.659754577,-0.581030928,-0.144664525,-0.059252683,0.787344415,-0.15279523,-0.455139497,-0.662535026,0.638589791,0.002374975,0.163799942,-1.46078247,-0.508526775,-0.856917191,0.550838056,-0.540828889,-0.269456972,-0.114554229,0.420363368
Y,-0.014982089,0.031060512,0.082899435,0.48417429,0.031461384,0.041285022,-0.099667466,0.424453375,1.981884575,-0.355317545,0.153438489,-0.008058881,-0.568754462,0.787586325,-0.472074179,-0.306394973,-0.659754577,1.025518865,-0.058486005,-0.359044668,0.022329963,0.726468905,0.094872516,0.00211927,-0.037278644,-0.355506489,-0.11762979,0.412649648,-0.015864663,0.036142086,-0.083951,-0.136411631,1.09075891,-0.134121219,0.059048632
N,-0.177264494,0.305236146,0.224405768,-0.591712555,0.0674118,-0.163728922,0.712696395,0.397321418,-0.072807051,-0.363895158,0.319249033,-0.471041593,2.24137354,1.247701341,-0.023056603,3.375737362,1.534181048,-0.470234391,-0.134983703,0.254815111,-0.553252339,-0.515194637,-0.204280167,-2.149291943,1.229974673,2.775956317,-1.102633855,-2.709737214,-0.508526775,-0.522019962,-0.250730935,0.343833863,-0.164824981,-0.192976084,0.286543096
Y,-0.034585265,0.396628024,0.082899435,1.104878239,-0.020514688,-0.00738268,-0.708940361,0.370189461,1.394829824,-0.498814611,0.56243783,0.454923831,-0.253495141,0.524663458,-0.472074179,-0.306394973,-0.659754577,1.302510209,-0.113365436,-0.0878043,0.46676693,0.670029653,1.115905732,-0.010637787,-0.882114189,0.73304963,1.289518873,0.537545122,0.476797448,-0.075490324,-0.075161324,-0.203814507,0.149070991,-0.370261251,0.326689178
N,-0.0419596,-0.083179335,0.153652601,0.525554553,0.109879336,-0.065669196,0.179582612,0.47871729,0.220720324,-0.446076987,0.468478522,-0.008058881,-0.666269123,1.101633082,-0.472074179,-0.306394973,-0.659754577,0.970120596,0.030336529,-0.33049305,0.015044111,0.307630246,-0.279626494,0.604039196,-0.121762199,-0.504623765,0.023085076,0.318978042,0.476797448,0.259406905,-0.317379147,0.251154908,0.149070991,-0.220229335,0.279852082
N,-0.196074683,0.442323963,0.047522851,-0.260670449,0.161667552,-0.071394387,-0.125053836,0.424453375,-0.953389177,-0.61459481,-1.941301378,-0.008058881,-0.498327206,0.517360045,0.425960973,-0.281116714,1.512880702,0.194544834,-0.626364986,0.226263494,0.962204861,-0.565692915,2.146585137,-0.751767387,0.976524009,2.119840301,1.570948606,0.662440596,-1.001188887,0.036142086,-0.289419745,0.175326673,0.253702982,-0.081540411,0.032284578
